Date,Price,Open,High,Low,Vol.,Change %
10/11/2018,95.79,98.76,98.83,95.58,1.16M,-2.72%
10/12/2018,94.61,95.69,96.18,94.02,707.55K,-1.23%
10/15/2018,96.32,94.47,97.37,94.27,780.50K,1.81%
10/16/2018,98.24,96.58,98.55,95.82,717.31K,1.99%
10/17/2018,98.11,97.95,98.62,97.1,465.65K,-0.13%
10/18/2018,98.24,98.1,98.79,97.91,463.59K,0.13%
10/19/2018,99.41,98.13,99.77,98.13,441.96K,1.19%
10/22/2018,97,99.5,99.74,96.98,551.85K,-2.42%
10/23/2018,97.53,96.42,98.09,95.97,455.04K,0.55%
10/24/2018,99.09,97.73,100.14,97.61,616.12K,1.60%
10/25/2018,100.03,99.06,100.71,97.95,760.83K,0.95%
10/26/2018,97.87,100,100,97.3,693.45K,-2.16%
10/29/2018,99.6,98.61,99.99,98.42,460.01K,1.77%
10/30/2018,100,100.01,101.1,99.57,600.56K,0.40%
10/31/2018,97.71,99.86,99.86,97.3,864.12K,-2.29%
