Date,Price,Open,High,Low,Vol.,Change %
2/13/2017,114.26,114.96,114.96,113.74,627.31K,-0.10%
2/14/2017,114.98,113.9,115.09,113,865.87K,0.63%
2/15/2017,115.23,114.74,115.27,113.42,507.56K,0.22%
2/16/2017,115.82,115.4,116.38,115.25,487.28K,0.51%
2/17/2017,116.38,115.62,116.38,115.05,352.13K,0.48%
2/21/2017,118.47,116.33,118.55,115.89,486.11K,1.80%
2/22/2017,118.49,118.62,119.64,117.35,541.92K,0.02%
2/23/2017,118.87,118.92,119.48,118.04,681.90K,0.32%
2/24/2017,120.2,118.87,120.51,118.5,587.16K,1.12%
2/27/2017,120.47,120.31,120.96,119.77,601.08K,0.22%
2/28/2017,119.31,120.48,120.51,118.99,999.09K,-0.96%
3/1/2017,118.18,119.48,119.48,117.87,837.47K,-0.95%
3/2/2017,117.01,117.99,118.37,116.01,565.77K,-0.99%
3/3/2017,117.59,116.31,117.71,115.16,422.92K,0.50%
3/6/2017,117.51,117.03,117.9,116.47,391.99K,-0.07%
3/7/2017,117.16,117.38,117.43,116.56,342.60K,-0.30%
3/8/2017,115.69,116.66,116.94,115.64,517.15K,-1.25%
3/9/2017,113.7,115.68,116.27,112.93,588.02K,-1.72%
3/10/2017,108.81,107.87,109.36,107.75,5.44M,-4.30%
3/13/2017,109.09,109.26,109.99,108.69,2.10M,0.26%
3/14/2017,108.18,109,109.03,106.89,1.12M,-0.83%
3/15/2017,110.41,108.42,111.06,108.13,1.59M,2.06%
3/16/2017,109.87,110.19,110.79,109.25,1.13M,-0.49%
3/17/2017,110.27,110,111.24,109.86,16.44M,0.36%
3/20/2017,109.97,110.45,110.85,109.43,1.50M,-0.27%
3/21/2017,110.7,111.11,111.35,110,1.52M,0.66%
3/22/2017,111.38,111.18,111.62,109.53,822.73K,0.61%
3/23/2017,112.09,111.2,112.91,110.99,568.59K,0.64%
3/24/2017,111.36,112.12,112.62,111.11,628.39K,-0.65%
3/27/2017,110.41,110.61,111.51,108.98,991.99K,-0.85%
3/28/2017,110.67,110.55,110.94,109.31,637.08K,0.24%
3/29/2017,109.82,109.6,110.14,109.05,512.97K,-0.77%
3/30/2017,109.82,109.66,110.3,109.16,377.57K,0.00%
3/31/2017,110.52,109.84,110.68,109.77,711.56K,0.64%
4/3/2017,110.75,110.15,110.89,109.85,560.50K,0.21%
4/4/2017,111.24,110.7,111.74,110.7,741.51K,0.44%
4/5/2017,110.96,111.27,111.94,110.59,768.25K,-0.25%
4/6/2017,112.18,111.17,112.54,110.62,848.60K,1.10%
4/7/2017,111.67,112.33,112.7,111.63,949.35K,-0.45%
4/10/2017,112.77,111.75,113.04,111.64,782.33K,0.99%
4/11/2017,113.63,112.83,113.87,112.23,615.00K,0.76%
4/12/2017,113.63,113.54,114.13,113.29,464.22K,0.00%
4/13/2017,113.54,113.62,114.38,113.05,769.47K,-0.08%
4/17/2017,115.07,113.62,115.08,113.62,695.47K,1.35%
4/18/2017,115.34,114.96,115.47,114.66,505.47K,0.23%
4/19/2017,115.66,115.27,116.02,115.09,579.80K,0.28%
4/20/2017,115.94,115.66,116.02,114.77,798.87K,0.24%
4/21/2017,115.43,115.93,116.14,115,788.48K,-0.44%
4/24/2017,113.2,116.44,116.64,112.5,717.43K,-1.93%
4/25/2017,114.33,113.35,114.5,113.24,542.84K,1.00%
4/26/2017,113.59,114.01,114.52,113.2,694.47K,-0.65%
4/27/2017,112.96,113.65,114.31,112.55,322.02K,-0.55%
4/28/2017,112.51,112.67,112.67,111.59,464.38K,-0.40%
5/1/2017,112.82,112.79,113.02,111.92,430.82K,0.28%
5/2/2017,114.56,114.27,115.71,112.02,882.29K,1.54%
5/3/2017,113.32,114.75,114.75,112.46,715.40K,-1.08%
5/4/2017,114.28,112.63,114.46,112.34,645.76K,0.85%
5/5/2017,114.83,114.67,115.52,114.19,434.04K,0.48%
5/8/2017,114.72,114.92,115.53,114.37,709.15K,-0.10%
5/9/2017,113.52,114.6,115.07,113.12,569.53K,-1.05%
5/10/2017,114.53,113.16,115.28,113.12,479.32K,0.89%
5/11/2017,115.07,113.86,115.36,113.01,430.50K,0.47%
5/12/2017,115.85,114.91,116.45,114.61,606.41K,0.68%
5/15/2017,115.85,115.86,117.06,115.6,660.49K,0.00%
5/16/2017,115.84,116.2,116.22,114.97,1.00M,-0.01%
5/17/2017,116.53,115.69,117.74,115.69,833.10K,0.60%
5/18/2017,117.09,116.41,117.5,115.08,744.80K,0.48%
5/19/2017,117.67,116.94,118.19,116.68,479.86K,0.50%
5/22/2017,117.9,118.03,118.66,117.59,373.25K,0.20%
5/23/2017,118.61,118.1,119.37,117.98,507.98K,0.60%
5/24/2017,118.28,118.56,119.1,118.25,511.34K,-0.28%
5/25/2017,117.36,119.02,119.02,117.3,459.89K,-0.78%
5/26/2017,117.27,117.45,117.7,116.98,303.50K,-0.08%
5/30/2017,117,117.33,117.62,116.75,356.31K,-0.23%
5/31/2017,116.68,117.34,117.56,115.76,1.46M,-0.27%
6/1/2017,117.94,116.51,118.13,116.51,646.49K,1.08%
6/2/2017,120.04,118.77,120.35,118.5,796.96K,1.78%
6/5/2017,120.34,120.25,120.56,119.64,560.29K,0.25%
6/6/2017,118.57,120.46,120.72,118.36,618.90K,-1.47%
6/7/2017,118.88,118.63,119.17,118.23,543.16K,0.26%
6/8/2017,118.55,119.01,119.45,117.14,531.66K,-0.28%
6/9/2017,118.63,118.59,119.34,117.98,468.47K,0.07%
6/12/2017,118.61,118.8,119.01,118,1.07M,-0.02%
6/13/2017,118.69,118.45,118.92,118.17,681.63K,0.07%
6/14/2017,118.97,119.95,120,118.31,751.38K,0.24%
6/15/2017,118.91,118.67,119.69,118.5,864.12K,-0.05%
6/16/2017,117.88,119,119.17,117.88,1.87M,-0.87%
6/19/2017,119.12,118.08,119.27,118.02,1.52M,1.05%
6/20/2017,119.26,119.38,119.48,117.17,680.09K,0.12%
6/21/2017,119.05,119.27,119.46,118.42,663.33K,-0.18%
6/22/2017,120.79,119.17,121.62,118.38,1.18M,1.46%
6/23/2017,120.6,120.74,121.25,120.34,1.66M,-0.16%
6/26/2017,121.28,121,121.38,120.46,932.00K,0.56%
6/27/2017,121.6,120.9,122.28,120.75,797.25K,0.26%
6/28/2017,120.53,121.3,121.55,120.34,713.36K,-0.88%
6/29/2017,118.99,120.07,120.49,118.58,641.20K,-1.28%
6/30/2017,120.47,119.24,121.09,118.99,787.72K,1.24%
7/3/2017,120.95,121,121.16,119.72,291.74K,0.40%
7/5/2017,120.35,120.95,121.7,120.05,538.52K,-0.50%
